,Payout,Portfolio_Value,Win,Loss,Surrender,Blackjack,Push
331,50.0,1175.0,0,0,1,0,0
332,50.0,1225.0,0,0,1,0,0
333,-50.0,1175.0,0,1,0,0,0
334,-50.0,1125.0,0,1,0,0,0
335,-50.0,1075.0,0,1,0,0,0
336,50.0,1125.0,0,0,1,0,0
337,50.0,1175.0,0,0,1,0,0
338,-50.0,1125.0,0,0,1,0,0
339,50.0,1175.0,0,0,1,0,0
340,50.0,1225.0,0,0,1,0,0
341,-25.0,1200.0,0,0,1,0,0
342,-50.0,1150.0,0,1,0,0,0
343,0.0,1150.0,0,0,0,0,1
344,-50.0,1100.0,0,1,0,0,0
345,50.0,1150.0,0,0,1,0,0
346,-50.0,1100.0,0,1,0,0,0
347,50.0,1150.0,0,0,1,0,0
348,-50.0,1100.0,0,1,0,0,0
349,-50.0,1050.0,0,1,0,0,0
350,0.0,1050.0,0,0,0,0,1
351,50.0,1100.0,0,0,1,0,0
352,-50.0,1050.0,0,1,0,0,0
353,0.0,1050.0,0,0,0,0,1
354,75.0,1125.0,1,0,0,1,0
355,-50.0,1075.0,0,1,0,0,0
356,50.0,1125.0,0,0,1,0,0
357,50.0,1175.0,0,0,1,0,0
358,75.0,1250.0,1,0,0,1,0
359,-50.0,1200.0,0,1,0,0,0
360,-50.0,1150.0,0,1,0,0,0
361,-50.0,1100.0,0,0,1,0,0
362,50.0,1150.0,0,0,1,0,0
363,50.0,1200.0,0,0,1,0,0
364,-25.0,1175.0,0,0,1,0,0
365,-50.0,1125.0,0,1,0,0,0
366,50.0,1175.0,0,0,1,0,0
367,50.0,1225.0,0,0,1,0,0
368,-50.0,1175.0,0,1,0,0,0
369,0.0,1175.0,0,0,0,0,1
370,-50.0,1125.0,0,1,0,0,0
371,50.0,1175.0,0,0,1,0,0
372,50.0,1225.0,0,0,1,0,0
373,50.0,1275.0,0,0,1,0,0
374,50.0,1325.0,0,0,1,0,0
375,50.0,1375.0,0,0,1,0,0
376,-50.0,1325.0,0,1,0,0,0
377,-50.0,1275.0,0,1,0,0,0
378,50.0,1325.0,0,0,1,0,0
379,50.0,1375.0,0,0,1,0,0
380,-50.0,1325.0,0,1,0,0,0
381,-50.0,1275.0,0,0,1,0,0
382,50.0,1325.0,0,0,1,0,0
383,-50.0,1275.0,0,1,0,0,0
384,-50.0,1225.0,0,1,0,0,0
385,50.0,1275.0,0,0,1,0,0
385,50.0,1325.0,0,0,1,0,0
385,50.0,1375.0,0,0,1,0,0
386,-50.0,1325.0,0,1,0,0,0
387,-50.0,1275.0,0,1,0,0,0
388,-50.0,1225.0,0,1,0,0,0
389,-25.0,1200.0,0,0,1,0,0
390,50.0,1250.0,0,0,1,0,0
391,75.0,1325.0,1,0,0,1,0
392,50.0,1375.0,0,0,1,0,0
393,50.0,1425.0,0,0,1,0,0
394,-50.0,1375.0,0,0,1,0,0
395,-50.0,1325.0,0,0,1,0,0
396,-50.0,1275.0,0,0,1,0,0
397,50.0,1325.0,0,0,1,0,0
398,50.0,1375.0,0,0,1,0,0
398,50.0,1425.0,0,0,1,0,0
